Region,All Phobias,Any CMD,CMD-NOS,Depressive Episode,Generalised Anxiety Disorder,Obsessive Compulsive Disorder,Panic Disorder,Overall_CMD_Prevalence,Severity_Score,Risk_Category
East Midlands,1.3,16.7,8.3,3.3,5.3,2.7,0.4,16.7,3.2199999999999998,Medium Risk
East of England,1.4,14.1,5.7,2.6,6.5,1.3,0.2,14.1,3.155,Low Risk
London,2.7,18.9,9.4,3.3,5.8,2.2,0.7,18.9,3.5349999999999997,High Risk
North East,2.6,16.2,5.7,3.3,7.2,1.0,0.1,16.2,3.6999999999999997,Medium Risk
North West,3.1,19.0,8.0,4.6,7.1,1.0,1.4,19.0,4.265,High Risk
South East,2.0,13.6,5.6,2.3,5.4,0.6,0.3,13.6,2.7299999999999995,Low Risk
South West,2.8,19.9,9.2,4.1,5.4,1.3,1.0,19.9,3.5649999999999995,High Risk
West Midlands,3.1,18.6,9.5,3.8,6.1,1.1,0.4,18.6,3.6399999999999997,High Risk
Yorkshire and The Humber,2.4,16.2,8.1,2.7,4.9,0.8,0.5,16.2,2.81,Medium Risk
