Region,Mean_RTT
NHS HERTFORDSHIRE AND WEST ESSEX ICB - 07H,302.14285714285717
NHS HUMBER AND NORTH YORKSHIRE ICB - 03H,278.25
NHS CHESHIRE AND MERSEYSIDE ICB - 01T,272.5
NHS STAFFORDSHIRE AND STOKE-ON-TRENT ICB - 05D,266.25
NHS NORTH EAST AND NORTH CUMBRIA ICB - 99C,264.11764705882354
NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,261.875
NHS HUMBER AND NORTH YORKSHIRE ICB - 03F,259.0625
NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB - 02Q,258.0
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02M,256.7241379310345
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00R,232.75
NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,232.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01J,218.75
NHS CHESHIRE AND MERSEYSIDE ICB - 01F,217.5
NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 02G,206.76470588235293
NHS SUFFOLK AND NORTH EAST ESSEX ICB - 06T,190.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01V,170.5
NHS MID AND SOUTH ESSEX ICB - 99G,168.0
NHS CHESHIRE AND MERSEYSIDE ICB - 01X,146.94444444444446
NHS MID AND SOUTH ESSEX ICB - 99E,130.33333333333334
NHS MID AND SOUTH ESSEX ICB - 07G,122.8125
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 14Y",118.33333333333333
NHS MID AND SOUTH ESSEX ICB - 99F,118.0
EAST OF ENGLAND - H&J COMMISSIONING HUB,42.142857142857146
NATIONAL COMMISSIONING HUB 1,20.88235294117647
